PLATZ_ID,REGAL,FACH,EBENE,UTILIZATION,HEATMAP_COLOR
030601202,06,12,2,0.0,GREEN
031203203,12,32,3,0.0,GREEN
031201600,12,16,0,0.0,GREEN
030103002,01,30,2,100.0,RED
031802001,18,20,1,100.0,RED
032403900,24,39,0,100.0,RED
031303501,13,35,1,0.0,GREEN
031302004,13,20,4,0.0,GREEN
032908801,29,88,1,100.0,RED
032908700,29,87,0,50.0,YELLOW
030501501,05,15,1,0.0,GREEN
032909100,29,91,0,50.0,YELLOW
031105402,11,54,2,0.0,GREEN
031101500,11,15,0,100.0,RED
032305804,23,58,4,100.0,RED
031902900,19,29,0,100.0,RED
032503800,25,38,0,100.0,RED
